Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Slovenia,Central and Eastern Europe,5.848,55,1.18498,87.337,0.60855,0.96213
Somaliland region,Sub-Saharan Africa,5.057,91,0.18847,43.873,0.46582,0.60072
South Africa,Sub-Saharan Africa,4.642,113,0.92049,27.688,0.33207,0.91116
South Korea,Eastern Asia,5.984,47,1.24461,96.538,0.33208,0.92143
Spain,Western Europe,6.329,36,1.23011,95.562,0.45951,0.93602
Sri Lanka,Southern Asia,4.271,132,0.83524,70.806,0.53726,0.90821
Sudan,Sub-Saharan Africa,4.55,118,0.52107,36.878,0.10081,0.8534
Suriname,Latin America and Caribbean,6.269,40,0.99534,60.82,0.59657,0.86367
Swaziland,Sub-Saharan Africa,4.867,101,0.71206,7.566,0.30658,0.9694
Sweden,Western Europe,7.364,8,1.33171,91.087,0.6598,0.56156
Switzerland,Western Europe,7.587,1,1.39651,94.143,0.66557,0.58022
Syria,Middle East and Northern Africa,3.006,156,0.6632,72.193,0.15684,0.81094
Taiwan,Eastern Asia,6.298,38,1.29098,87.53,0.3974,0.91871
Tajikistan,Central and Eastern Europe,4.786,106,0.39047,57.379,0.47216,0.84928
Tanzania,Sub-Saharan Africa,3.781,146,0.2852,38.215,0.32878,0.94253
Thailand,Southeastern Asia,6.455,34,0.9669,73.85,0.55664,0.96813
Togo,Sub-Saharan Africa,2.839,158,0.20868,28.443,0.36453,0.89269
Trinidad and Tobago,Latin America and Caribbean,6.168,41,1.21183,61.483,0.55884,0.9886
Tunisia,Middle East and Northern Africa,4.739,107,0.88113,73.793,0.26268,0.93642
Turkey,Middle East and Northern Africa,5.332,76,1.06098,73.172,0.22815,0.84254
Turkmenistan,Central and Eastern Europe,5.548,70,0.95847,53.886,0.4761,0.69156
Uganda,Sub-Saharan Africa,3.931,141,0.21102,33.861,0.45727,0.92733
Ukraine,Central and Eastern Europe,4.681,111,0.79907,67.39,0.25123,0.97039
United Arab Emirates,Middle East and Northern Africa,6.901,20,1.42727,80.925,0.64157,0.61417
United Kingdom,Western Europe,6.867,21,1.26637,90.943,0.59625,0.67933
United States,North America,7.119,15,1.39451,86.179,0.54604,0.8411
Uruguay,Latin America and Caribbean,6.485,32,1.06166,81.16,0.60362,0.75442
Uzbekistan,Central and Eastern Europe,6.003,44,0.63244,59.772,0.65821,0.69174
Venezuela,Latin America and Caribbean,6.81,23,1.04424,72.052,0.42908,0.88931
Vietnam,Southeastern Asia,5.36,75,0.63216,74.676,0.59444,0.89559
Yemen,Middle East and Northern Africa,4.077,136,0.54649,40.064,0.35571,0.92146
Zambia,Sub-Saharan Africa,5.129,85,0.47038,29.924,0.48827,0.87532
Zimbabwe,Sub-Saharan Africa,4.61,115,0.271,33.475,0.25861,0.91921
