Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption
Congo (Brazzaville),Sub-Saharan Africa,4.559,114,0.682,0.343,0.514,0.077
Congo (Kinshasa),Sub-Saharan Africa,4.245,132,0.069,0.204,0.312,0.052
Costa Rica,Latin America and Caribbean,7.072,13,1.01,0.817,0.632,0.101
Croatia,Central and Eastern Europe,5.321,82,1.115,0.737,0.38,0.039
Cyprus,Western Europe,5.762,61,1.229,0.909,0.423,0.035
Czech Republic,Central and Eastern Europe,6.711,21,1.233,0.854,0.543,0.034
Denmark,Western Europe,7.555,3,1.351,0.868,0.683,0.408
Dominican Republic,Latin America and Caribbean,5.302,83,0.982,0.614,0.578,0.106
Ecuador,Latin America and Caribbean,5.973,48,0.889,0.736,0.556,0.12
Egypt,Middle East and Northern Africa,4.419,122,0.885,0.553,0.312,0.107
El Salvador,Latin America and Caribbean,6.167,40,0.806,0.639,0.461,0.082
Estonia,Central and Eastern Europe,5.739,63,1.2,0.737,0.553,0.174
Ethiopia,Sub-Saharan Africa,4.35,127,0.308,0.391,0.452,0.146
Finland,Western Europe,7.632,1,1.305,0.874,0.681,0.393
France,Western Europe,6.489,23,1.293,0.908,0.52,0.176
Gabon,Sub-Saharan Africa,4.758,103,1.036,0.404,0.356,0.052
Georgia,Central and Eastern Europe,4.34,128,0.853,0.643,0.375,0.215
Germany,Western Europe,6.965,15,1.34,0.861,0.586,0.28
Ghana,Sub-Saharan Africa,4.657,108,0.592,0.337,0.499,0.029
Greece,Western Europe,5.358,79,1.154,0.879,0.131,0.044
Guatemala,Latin America and Caribbean,6.382,30,0.781,0.608,0.604,0.071
Guinea,Sub-Saharan Africa,3.964,140,0.344,0.211,0.394,0.094
Haiti,Latin America and Caribbean,3.582,148,0.315,0.289,0.025,0.104
Honduras,Latin America and Caribbean,5.504,72,0.62,0.622,0.459,0.074
Hong Kong,Eastern Asia,5.43,76,1.405,1.03,0.524,0.291
Hungary,Central and Eastern Europe,5.62,69,1.171,0.732,0.259,0.022
Iceland,Western Europe,7.495,4,1.343,0.914,0.677,0.138
India,Southern Asia,4.19,133,0.721,0.485,0.539,0.093
Indonesia,Southeastern Asia,5.093,96,0.899,0.522,0.538,0.018
Iran,Middle East and Northern Africa,4.707,106,1.059,0.691,0.459,0.129
Iraq,Middle East and Northern Africa,4.456,117,1.01,0.536,0.304,0.095
Ireland,Western Europe,6.977,14,1.448,0.876,0.614,0.306
Israel,Middle East and Northern Africa,6.814,19,1.301,0.883,0.533,0.272
Italy,Western Europe,6,47,1.264,0.946,0.281,0.028
Ivory Coast,Sub-Saharan Africa,4.671,107,0.541,0.08,0.467,0.103
Jamaica,Latin America and Caribbean,5.89,56,0.819,0.693,0.575,0.031
Japan,Eastern Asia,5.915,54,1.294,0.988,0.553,0.15
Jordan,Middle East and Northern Africa,5.161,90,0.822,0.645,0.468,0.134
Kazakhstan,Central and Eastern Europe,5.79,60,1.143,0.631,0.454,0.121
Kenya,Sub-Saharan Africa,4.41,124,0.493,0.454,0.504,0.055
Kosovo,Central and Eastern Europe,5.662,66,0.855,0.578,0.448,0.023
Kuwait,Middle East and Northern Africa,6.083,45,1.474,0.675,0.554,0.106
Kyrgyzstan,Central and Eastern Europe,5.131,92,0.53,0.594,0.54,0.035
Laos,Southeastern Asia,4.623,110,0.72,0.441,0.626,0.174
Latvia,Central and Eastern Europe,5.933,53,1.148,0.671,0.363,0.066
Lebanon,Middle East and Northern Africa,5.358,80,0.965,0.785,0.503,0.136
Lesotho,Sub-Saharan Africa,3.808,141,0.472,0.079,0.423,0.112
Liberia,Sub-Saharan Africa,3.495,149,0.076,0.267,0.419,0.03
Libya,Middle East and Northern Africa,5.566,70,0.985,0.553,0.496,0.148
Lithuania,Central and Eastern Europe,5.952,50,1.197,0.716,0.35,0.006
Luxembourg,Western Europe,6.91,17,1.576,0.896,0.632,0.321
Macedonia,Central and Eastern Europe,5.185,89,0.959,0.691,0.394,0.052
Madagascar,Sub-Saharan Africa,3.774,143,0.262,0.402,0.221,0.049
Malawi,Sub-Saharan Africa,3.587,147,0.186,0.306,0.531,0.08
Malaysia,Southeastern Asia,6.322,35,1.161,0.669,0.356,0.059
Mali,Sub-Saharan Africa,4.447,118,0.37,0.152,0.367,0.056
Malta,Western Europe,6.627,22,1.27,0.884,0.645,0.142
Mauritania,Sub-Saharan Africa,4.356,126,0.557,0.292,0.129,0.093
Mauritius,Sub-Saharan Africa,5.891,55,1.09,0.684,0.584,0.05
Mexico,Latin America and Caribbean,6.488,24,1.038,0.761,0.479,0.095
Moldova,Central and Eastern Europe,5.64,67,0.657,0.62,0.232,0
Mongolia,Eastern Asia,5.125,94,0.914,0.575,0.395,0.032
Montenegro,Central and Eastern Europe,5.347,81,1.017,0.729,0.259,0.081
Morocco,Middle East and Northern Africa,5.254,85,0.779,0.669,0.46,0.074
Mozambique,Sub-Saharan Africa,4.417,123,0.198,0.173,0.531,0.158
Myanmar,Southeastern Asia,4.308,130,0.682,0.429,0.58,0.178
Namibia,,4.441,119,0.874,0.365,0.519,0.064
Nepal,Southern Asia,4.88,101,0.425,0.539,0.526,0.078
Netherlands,Western Europe,7.441,6,1.361,0.878,0.638,0.295
New Zealand,Australia and New Zealand,7.324,8,1.268,0.876,0.669,0.389
Nicaragua,Latin America and Caribbean,6.141,41,0.668,0.7,0.527,0.128
Niger,Sub-Saharan Africa,4.166,134,0.131,0.221,0.39,0.099
Nigeria,Sub-Saharan Africa,5.155,91,0.689,0.048,0.462,0.032
North Cyprus,Western Europe,5.835,58,1.229,0.909,0.495,0.154
Norway,Western Europe,7.594,2,1.456,0.861,0.686,0.34
Pakistan,Southern Asia,5.472,75,0.652,0.424,0.334,0.113
Palestinian Territories,Middle East and Northern Africa,4.743,104,0.642,0.602,0.266,0.076
Panama,Latin America and Caribbean,6.43,27,1.112,0.759,0.597,0.063
Paraguay,Latin America and Caribbean,5.681,64,0.835,0.615,0.541,0.074
Peru,Latin America and Caribbean,5.663,65,0.934,0.674,0.53,0.034
Philippines,Southeastern Asia,5.524,71,0.775,0.513,0.643,0.105
Poland,Central and Eastern Europe,6.123,42,1.176,0.781,0.546,0.064
Portugal,Western Europe,5.41,77,1.188,0.884,0.562,0.017
Qatar,Middle East and Northern Africa,6.374,32,1.649,0.748,0.654,0.171
Romania,Central and Eastern Europe,5.945,52,1.116,0.726,0.528,0.001
Russia,Central and Eastern Europe,5.81,59,1.151,0.599,0.399,0.025
Rwanda,Sub-Saharan Africa,3.408,151,0.332,0.4,0.636,0.444
Saudi Arabia,Middle East and Northern Africa,6.371,33,1.379,0.633,0.509,0.127
Senegal,Sub-Saharan Africa,4.631,109,0.429,0.433,0.406,0.082
Serbia,Central and Eastern Europe,5.398,78,0.975,0.685,0.288,0.043
Sierra Leone,Sub-Saharan Africa,4.571,113,0.256,0,0.355,0.053
Singapore,Southeastern Asia,6.343,34,1.529,1.008,0.631,0.457
Slovakia,Central and Eastern Europe,6.173,39,1.21,0.776,0.354,0.014
Slovenia,Central and Eastern Europe,5.948,51,1.219,0.856,0.633,0.051
Somalia,,4.982,98,0,0.115,0.674,0.282
South Africa,Sub-Saharan Africa,4.724,105,0.94,0.33,0.516,0.056
South Korea,Eastern Asia,5.875,57,1.266,0.955,0.244,0.051
South Sudan,,3.254,154,0.337,0.177,0.112,0.106
Spain,Western Europe,6.31,36,1.251,0.965,0.449,0.074
Sri Lanka,Southern Asia,4.471,116,0.918,0.672,0.585,0.05
Sudan,Sub-Saharan Africa,4.139,137,0.605,0.312,0.016,0.082
Sweden,Western Europe,7.314,9,1.355,0.913,0.659,0.383
Switzerland,Western Europe,7.487,5,1.42,0.927,0.66,0.357
Syria,Middle East and Northern Africa,3.462,150,0.689,0.539,0.088,0.144
Taiwan,Eastern Asia,6.441,26,1.365,0.857,0.418,0.078
Tajikistan,Central and Eastern Europe,5.199,88,0.474,0.598,0.292,0.034
Tanzania,Sub-Saharan Africa,3.303,153,0.455,0.381,0.481,0.097
Thailand,Southeastern Asia,6.072,46,1.016,0.707,0.637,0.029
Togo,Sub-Saharan Africa,3.999,139,0.259,0.253,0.434,0.101
Trinidad & Tobago,,6.192,38,1.223,0.564,0.575,0.019
Tunisia,Middle East and Northern Africa,4.592,111,0.9,0.69,0.271,0.063
Turkey,Middle East and Northern Africa,5.483,74,1.148,0.686,0.324,0.109
Turkmenistan,Central and Eastern Europe,5.636,68,1.016,0.517,0.417,0.037
Uganda,Sub-Saharan Africa,4.161,135,0.322,0.237,0.45,0.061
Ukraine,Central and Eastern Europe,4.103,138,0.793,0.609,0.163,0.011
United Arab Emirates,Middle East and Northern Africa,6.774,20,2.096,0.67,0.284,
United Kingdom,Western Europe,7.19,11,1.244,0.888,0.464,0.082
United States,North America,6.886,18,1.398,0.819,0.547,0.133
Uruguay,Latin America and Caribbean,6.379,31,1.093,0.771,0.625,0.155
Uzbekistan,Central and Eastern Europe,6.096,44,0.719,0.605,0.724,0.259
Venezuela,Latin America and Caribbean,4.806,102,0.996,0.657,0.133,0.052
Vietnam,Southeastern Asia,5.103,95,0.715,0.702,0.618,0.079
Yemen,Middle East and Northern Africa,3.355,152,0.442,0.343,0.244,0.064
Zambia,Sub-Saharan Africa,4.377,125,0.562,0.295,0.503,0.082
Zimbabwe,Sub-Saharan Africa,3.692,144,0.357,0.248,0.406,0.099
