Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption
Tanzania,Sub-Saharan Africa,3.231,153,0.476,0.499,0.417,0.147
Thailand,Southeastern Asia,6.008,52,1.05,0.828,0.557,0.028
Togo,Sub-Saharan Africa,4.085,139,0.275,0.41,0.293,0.085
Trinidad & Tobago,,6.192,39,1.231,0.713,0.489,0.016
Tunisia,Middle East and Northern Africa,4.461,124,0.921,0.815,0.167,0.055
Turkey,Middle East and Northern Africa,5.373,79,1.183,0.808,0.195,0.106
Turkmenistan,Central and Eastern Europe,5.247,87,1.052,0.657,0.394,0.028
Uganda,Sub-Saharan Africa,4.189,136,0.332,0.443,0.356,0.06
Ukraine,Central and Eastern Europe,4.332,133,0.82,0.739,0.178,0.01
United Arab Emirates,Middle East and Northern Africa,6.825,21,1.503,0.825,0.598,0.182
United Kingdom,Western Europe,7.054,15,1.333,0.996,0.45,0.278
United States,North America,6.892,19,1.433,0.874,0.454,0.128
Uruguay,Latin America and Caribbean,6.293,33,1.124,0.891,0.523,0.15
Uzbekistan,Central and Eastern Europe,6.174,41,0.745,0.756,0.631,0.24
Venezuela,Latin America and Caribbean,4.707,108,0.96,0.805,0.154,0.047
Vietnam,Southeastern Asia,5.175,94,0.741,0.851,0.543,0.073
Yemen,Middle East and Northern Africa,3.38,151,0.287,0.463,0.143,0.077
Zambia,Sub-Saharan Africa,4.107,138,0.578,0.426,0.431,0.087
Zimbabwe,Sub-Saharan Africa,3.663,146,0.366,0.433,0.361,0.089
