Country,Region,Happiness score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Lesotho*,,3512,141,839,0,419,18
Liberia*,,5122,97,636,309,405,80
Libya*,,5330,86,1476,606,477,179
Lithuania,,6446,34,1804,659,496,77
Luxembourg*,,7404,6,2209,790,700,388
Madagascar*,,4339,128,670,378,202,154
Malawi,,3750,138,648,388,477,157
Malaysia,,5711,70,1689,620,654,126
Mali,,4479,123,792,311,350,42
Malta,,6447,33,1838,789,679,166
Mauritania*,,4153,133,1100,450,304,138
Mauritius,,6071,52,1591,568,589,107
Mexico,,6128,46,1552,623,621,115
Moldova,,5857,62,1417,597,561,28
Mongolia,,5761,68,1393,467,398,59
Montenegro,,5547,75,1573,659,460,77
Morocco,,5060,100,1208,565,492,102
Mozambique,,5048,101,578,191,593,200
Myanmar,,4394,126,1038,491,513,194
Namibia,,4459,124,1292,354,384,71
Nepal,,5377,84,984,499,519,130
Netherlands,,7415,5,1945,787,651,419
New Zealand,,7200,10,1852,752,680,483
Nicaragua,,6165,45,1105,617,617,212
Niger*,,5003,104,570,326,571,145
Nigeria,,4552,118,1079,300,444,38
North Cyprus*,,5467,79,1815,819,523,213
North Macedonia,,5199,89,1505,637,488,31
Norway,,7365,8,1997,786,728,474
Pakistan,,4516,121,1049,374,448,112
Palestinian Territories*,,4483,122,1148,521,336,79
Panama,,6309,37,1715,709,592,51
Paraguay,,5578,73,1409,624,629,59
Peru,,5559,74,1397,735,545,37
Philippines,,5904,60,1268,514,678,142
Poland,,6123,48,1758,712,523,140
Portugal,,6016,56,1760,777,655,39
Romania,,6477,28,1719,655,605,6
Russia,,5459,80,1685,586,401,80
Rwanda*,,3268,143,785,462,621,544
Saudi Arabia,,6523,25,1870,577,651,180
Senegal,,5046,103,933,447,494,81
Serbia,,6178,43,1550,658,546,88
Sierra Leone,,3574,140,686,273,387,55
Singapore,,6480,27,2149,851,672,587
Slovakia,,6391,35,1736,707,479,25
Slovenia,,6630,22,1810,769,685,115
South Africa,,5194,91,1425,361,442,46
South Korea,,5935,59,1851,841,414,176
Spain,,6476,29,1808,808,505,149
Sri Lanka,,4362,127,1415,660,529,79
Sweden,,7384,7,1920,803,724,512
Switzerland,,7512,4,2026,822,677,461
Taiwan Province of China,,6512,26,1897,733,542,168
Tajikistan,,5377,83,966,518,572,304
Tanzania,,3702,139,848,425,578,270
Thailand,,5891,61,1535,697,617,26
Togo,,4112,135,771,360,292,132
Tunisia,,4516,120,1350,656,316,29
Turkey,,4744,112,1707,702,209,115
Turkmenistan*,,5474,78,1484,516,649,32
Uganda,,4603,117,777,418,402,66
Ukraine,,5084,98,1411,583,473,17
United Arab Emirates,,6576,24,1998,633,702,250
United Kingdom,,6943,17,1867,750,597,329
United States,,6977,16,1982,628,574,177
Uruguay,,6474,30,1615,672,665,265
Uzbekistan,,6063,53,1219,600,716,240
Venezuela,,4925,108,0,578,283,82
Vietnam,,5485,77,1252,611,707,105
xx,,,147,,,,
Yemen*,,4197,132,691,384,330,98
Zambia,,3760,137,930,306,525,83
Zimbabwe,,2995,144,947,270,329,105
